,link
136,https://www.edx.org/professional-certificate/javerianax-gerencia-de-ventas-desarrollo-de-habilidades-comerciales
137,https://www.edx.org/professional-certificate/upvalenciax-interdisciplinary-sustainable-architecture-assessment
138,https://www.edx.org/professional-certificate/linuxfoundationx-blockchain-for-business
139,https://www.edx.org/professional-certificate/babsonx-financial-decision-making-for-leaders
140,https://www.edx.org/micromasters/michiganx-social-work-practice-policy-and-research
141,https://www.edx.org/professional-certificate/idbx-results-based-project-management
142,https://www.edx.org/xseries/food-security-sustainability
143,https://www.edx.org/professional-certificate/ucsandiegox-virtual-reality-app-development
144,https://www.edx.org/professional-certificate/catalystx-race-gender-and-workplace-equity
145,https://www.edx.org/micromasters/adelaidex-big-data
146,https://www.edx.org/xseries/water-management
147,https://www.edx.org/professional-certificate/babsonx-entrepreneurial-mindset-and-leadership
148,https://www.edx.org/professional-certificate/curtinx-mobile-app-development-with-swift
149,https://www.edx.org/micromasters/usmx-umgc-instructional-design-technology
150,https://www.edx.org/xseries/china-civilization-empire
151,https://www.edx.org/xseries/aws-developer-series
152,https://www.edx.org/professional-certificate/georgetownx-american-sign-language-science
153,https://www.edx.org/professional-certificate/uc3mx-introduccion-a-la-programacion-en-java
154,https://www.edx.org/micromasters/hkpolyux-international-hospitality-management
155,https://www.edx.org/micromasters/doanex-healthcare-administration
156,https://www.edx.org/professional-certificate/iimbx-customer-relationship-management-for-marketers
157,https://www.edx.org/microbachelors/nyux-cybersecurity-fundamentals
158,https://www.edx.org/professional-certificate/doanex-lifestyle-medicine-improving-the-future-of-health-care
159,https://www.edx.org/micromasters/upvalenciax-liderazgo-y-trabajo-en-equipo-en-grupos-de-mejora-continua
160,https://www.edx.org/professional-certificate/usmx-program-management-and-the-art-of-communication
161,https://www.edx.org/professional-certificate/delftx-management-of-engineering-projects-dealing-with-complexity
162,https://www.edx.org/microbachelors/nyux-introduction-to-databases
163,https://www.edx.org/professional-certificate/doanex-cannabis-science-and-industries-seeds-to-needs
164,https://www.edx.org/professional-certificate/delftx-management-and-financing-of-engineering-projects
165,https://www.edx.org/xseries/uamx-griego-clasico
166,https://www.edx.org/professional-certificate/ritx-data-analysis-for-decision-making
167,https://www.edx.org/professional-certificate/anahuacx-inteligencia-artificial-y-robotica
168,https://www.edx.org/professional-certificate/usmx-re-imagining-leadership
169,https://www.edx.org/professional-certificate/galileox-analisis-de-datos-para-la-toma-de-decisiones-empresariales
170,https://www.edx.org/professional-certificate/edx-course-creator-plus
171,https://www.edx.org/xseries/berkleex-grabacion-produccion-musical
172,https://www.edx.org/xseries/mitx-introductory-electricity-and-magnetism
